Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity,mrp_rs,selling_price_rs,discount_amount_rs,potential_revenue
Beverages,The Bake Shop Whole Wheat Bread,4000,0,0,4000,400,True,400,40.0,40.0,0.0,0.0
Beverages,Funfoods Peanut Butter Creamy,16900,0,1,16900,400,False,400,169.0,169.0,0.0,169.0
Beverages,D'lecta Cheddar Cheese,19900,5,6,18900,200,False,200,199.0,189.0,10.0,1134.0
Beverages,RRO Mascarpone Cheese,35500,50,6,17700,200,False,200,355.0,177.0,178.0,1062.0
Beverages,RRO Goat Milk Fetta Cheee,34500,31,6,23700,100,False,100,345.0,237.0,108.0,1422.0
Beverages,Go Cheese Processed Block,24900,4,6,23700,400,False,400,249.0,237.0,12.0,1422.0
Beverages,Go Processed Cheese Block,12500,4,6,11900,200,False,200,125.0,119.0,6.0,714.0
Beverages,The Whole Truth Peanut Butter - Sweetened & Crunchy,21500,20,6,17200,325,False,325,215.0,172.0,43.0,1032.0
Beverages,Laughing Cow Cheese 8 Portion 120Gm Imported,11000,0,6,11000,120,False,120,110.0,110.0,0.0,660.0
Beverages,Amulya Dairy Whitener,38000,2,4,37200,1000,False,1,380.0,372.0,8.0,1488.0
Beverages,Dlicia Whip Topping Bottle,23500,27,5,17100,1000,False,1,235.0,171.0,64.0,855.0
Beverages,Go Cheese Spread - Four Pepper (Soft & Creamy),9900,5,6,9400,200,False,200,99.0,94.0,5.0,564.0
Beverages,Amul Safed Makkhan,23500,1,6,23200,500,False,500,235.0,232.0,3.0,1392.0
Beverages,Funfoods Peanut Butter Crunchy,16900,7,1,15600,400,False,400,169.0,156.0,13.0,156.0
Beverages,Pantai Coconut Milk,15000,0,4,15000,400,False,400,150.0,150.0,0.0,600.0
Beverages,Go Cheese Processed Squares,12500,5,6,11800,200,False,200,125.0,118.0,7.0,708.0
Beverages,RRO Burrata Cheese,25000,50,4,12500,200,False,200,250.0,125.0,125.0,500.0
Beverages,Yogabar 100% Pure Peanut Butter Creamy & Yummy Unsweetened,22900,10,6,20600,400,False,400,229.0,206.0,23.0,1236.0
Beverages,The Laughing Cow Cheese Cubes,15000,0,4,15000,200,False,200,150.0,150.0,0.0,600.0
Beverages,RRO Mozzarella Pizza Cheese,27500,50,6,13700,200,False,200,275.0,137.0,138.0,822.0
Beverages,Dlecta Cheese Cubes 2,14500,5,6,13700,200,False,200,145.0,137.0,8.0,822.0
Beverages,RRO Fresh Ricotta,27500,50,6,13700,200,False,200,275.0,137.0,138.0,822.0
Beverages,Pantai Coconut Cream,15000,4,4,14300,400,False,400,150.0,143.0,7.0,572.0
Beverages,Suguna Fit Egg,12000,43,4,6800,348,False,6,120.0,68.0,52.0,272.0
Beverages,The Whole Truth Peanut Butter With Dates - Creamy No Sugar,21500,9,6,19400,325,False,325,215.0,194.0,21.0,1164.0
Beverages,RRO Cheddar Block Cheese,29500,50,6,14700,200,False,200,295.0,147.0,148.0,882.0
Beverages,Go Pizza Cheese,14000,5,6,13300,200,False,200,140.0,133.0,7.0,798.0
Beverages,Go Cheese Spread - Garlic,9900,5,6,9400,200,False,200,99.0,94.0,5.0,564.0
Beverages,Suguna Heart- Omega3,7200,13,4,6200,348,False,6,72.0,62.0,10.0,248.0
